date,hour,CO (mg/m³),NO2 (µg/m³),O3 (µg/m³),SO2 (µg/m³)
20220101,0,0.98,40,46,14
20220101,1,0.96,40,43,13
20220101,2,0.95,44,37,12
20220101,3,0.89,43,36,12
20220101,4,0.86,44,31,11
20220101,5,0.84,44,28,12
20220101,6,0.79,42,28,11
20220101,7,0.75,45,24,11
20220101,8,0.7,45,23,10
20220101,9,0.69,40,29,10
20220101,10,0.8,35,36,13
20220101,11,0.91,32,46,13
20220101,12,0.93,33,52,13
20220101,13,0.86,35,61,14
20220101,14,0.87,37,66,15
20220101,15,0.87,41,68,15
20220101,16,0.93,46,68,15
20220101,17,0.91,54,58,14
20220101,18,0.99,74,34,13
20220101,19,1.19,90,10,11
20220101,20,1.45,93,8,12
20220101,21,1.54,90,5,11
20220101,22,1.51,89,5,11
20220101,23,1.51,88,5,11
20220102,0,1.45,86,4,11
20220102,1,1.44,83,5,11
20220102,2,1.46,79,7,11
20220102,3,1.54,76,6,11
20220102,4,1.61,74,7,11
20220102,5,1.67,73,6,13
20220102,6,1.65,81,5,13
20220102,7,1.41,80,5,14
20220102,8,1.3,77,5,16
20220102,9,1.24,68,11,15
20220102,10,1.14,53,23,15
20220102,11,1.09,46,33,15
20220102,12,1.15,43,42,15
20220102,13,1.04,37,53,13
20220102,14,0.88,36,59,12
20220102,15,0.82,38,62,12
20220102,16,0.79,40,61,12
20220102,17,0.73,45,53,12
20220102,18,0.86,56,38,13
20220102,19,0.99,60,34,15
20220102,20,0.95,59,31,15
20220102,21,0.99,56,29,14
20220102,22,1.01,55,25,17
20220102,23,0.96,52,24,13
20220103,0,0.88,48,21,10
20220103,1,0.85,49,16,10
20220103,2,0.79,47,17,9
20220103,3,0.78,49,13,8
20220103,4,0.74,47,14,7
20220103,5,0.75,46,16,8
20220103,6,0.78,47,13,8
20220103,7,0.83,51,10,8
20220103,8,0.87,52,8,9
20220103,9,0.9,51,9,9
20220103,10,0.88,47,20,10
20220103,11,0.91,44,32,12
20220103,12,1,42,46,14
20220103,13,1.05,44,58,15
20220103,14,1.05,47,68,15
20220103,15,1.05,53,70,14
20220103,16,1.07,67,57,14
20220103,17,1.05,79,41,12
20220103,18,1.18,100,16,12
20220103,19,1.28,104,12,11
20220103,20,1.43,104,9,11
20220103,21,1.49,102,11,12
20220103,22,1.49,100,10,12
20220103,23,1.5,96,10,10
20220104,0,1.48,91,16,10
20220104,1,1.45,86,15,10
20220104,2,1.41,85,11,11
20220104,3,1.49,86,7,12
20220104,4,1.45,80,7,15
20220104,5,1.69,84,4,16
20220104,6,1.66,80,4,15
20220104,7,1.71,75,3,15
20220104,8,1.68,69,4,15
20220104,9,1.6,61,9,17
20220104,10,1.57,59,12,18
20220104,11,1.6,60,15,18
20220104,12,1.71,59,19,19
20220104,13,1.64,55,26,20
20220104,14,1.6,57,26,20
20220104,15,1.55,59,23,18
20220104,16,1.51,62,17,16
20220104,17,1.41,63,14,15
20220104,18,1.3,60,17,14
20220104,19,1.23,53,22,12
20220104,20,1.18,49,27,11
20220104,21,1,37,40,9
20220104,22,0.74,25,55,8
20220104,23,0.81,23,60,7
20220105,0,0.79,20,61,7
20220105,1,0.7,20,61,6
20220105,2,0.69,18,61,6
20220105,3,0.64,19,60,6
20220105,4,0.59,17,58,6
20220105,5,0.54,18,53,5
20220105,6,0.49,19,46,5
20220105,7,0.49,22,41,5
20220105,8,0.56,30,28,5
20220105,9,0.67,35,20,5
20220105,10,0.7,36,20,5
20220105,11,0.66,32,30,5
20220105,12,0.64,27,39,5
20220105,13,0.63,24,42,5
20220105,14,0.59,24,48,5
20220105,15,0.61,26,49,5
20220105,16,0.74,31,42,5
20220105,17,0.71,36,36,6
20220105,18,0.77,42,27,6
20220105,19,0.79,48,19,6
20220105,20,0.86,54,13,6
20220105,21,0.89,57,9,6
20220105,22,0.88,56,10,6
20220105,23,0.9,54,10,7
20220106,0,0.88,52,9,6
20220106,1,0.85,50,6,6
20220106,2,0.91,50,3,7
20220106,3,0.91,50,2,7
20220106,4,0.98,48,3,7
20220106,5,1.05,48,3,8
20220106,6,1.01,48,4,8
20220106,7,1.01,49,3,9
20220106,8,1.03,48,3,8
20220106,9,1.24,49,6,9
20220106,10,1.15,49,13,11
20220106,11,1.16,44,31,15
20220106,12,1.08,35,49,13
20220106,13,1,30,61,10
20220106,14,1,29,70,10
20220106,15,0.93,30,72,9
20220106,16,0.86,31,74,8
20220106,17,0.91,36,68,8
20220106,18,0.99,46,53,8
20220106,19,1.01,50,48,8
20220106,20,1.04,59,34,7
20220106,21,1.09,65,26,8
20220106,22,1.15,65,21,8
20220106,23,1.18,71,14,8
20220107,0,1.14,58,23,8
20220107,1,1.2,56,18,7
20220107,2,1.24,54,16,6
20220107,3,1.31,52,11,6
20220107,4,1.33,52,12,6
20220107,5,1.43,55,5,7
20220107,6,1.46,57,5,9
20220107,7,1.41,62,2,10
20220107,8,1.5,61,3,10
20220107,9,1.65,62,4,10
20220107,10,1.5,65,7,11
20220107,11,1.43,64,16,15
20220107,12,1.39,54,36,18
20220107,13,1.26,44,62,19
20220107,14,1.12,38,76,16
20220107,15,1.04,36,80,14
20220107,16,1.1,39,79,12
20220107,17,1.14,43,74,12
20220107,18,1.14,44,70,11
20220107,19,1.19,49,60,10
20220107,20,1.16,45,62,10
20220107,21,1.15,47,55,10
20220107,22,1.18,45,52,10
20220107,23,1.16,46,46,9
20220108,0,1.16,50,39,9
20220108,1,1.18,55,29,9
20220108,2,1.22,61,20,9
20220108,3,1.42,60,21,8
20220108,4,1.4,55,28,8
20220108,5,1.24,58,22,8
20220108,6,1.23,59,16,7
20220108,7,1.29,59,11,7
20220108,8,1.35,59,8,7
20220108,9,1.48,59,11,8
20220108,10,1.51,58,34,11
20220108,11,1.41,52,61,12
20220108,12,1.18,39,80,12
20220108,13,1.05,34,87,11
20220108,14,0.93,31,93,10
20220108,15,0.81,27,96,8
20220108,16,0.79,26,93,8
20220108,17,0.85,35,82,7
20220108,18,0.94,39,70,7
20220108,19,0.95,43,58,7
20220108,20,1.01,44,53,8
20220108,21,1.16,50,44,7
