date,hour,CO,NO2,O3,SO2
20230101,0,1.91,92,18,15
20230101,1,1.93,89,13,14
20230101,2,1.93,85,12,12
20230101,3,1.84,85,11,11
20230101,4,1.87,90,9,12
20230101,5,1.94,88,11,12
20230101,6,1.99,91,12,13
20230101,7,1.91,99,15,15
20230101,8,1.67,84,11,18
20230101,9,1.69,74,16,20
20230101,10,1.7,64,30,23
20230101,11,1.84,52,60,24
20230101,12,1.86,49,81,25
20230101,13,1.73,47,100,23
20230101,14,1.63,43,116,21
20230101,15,1.57,42,124,20
20230101,16,1.5,41,125,20
20230101,17,1.56,52,109,21
20230101,18,1.64,66,84,22
20230101,19,1.65,70,68,21
20230101,20,1.66,73,52,20
20230101,21,1.59,72,39,21
20230101,22,1.46,59,34,18
20230101,23,1.3,50,32,15
20230102,0,1.24,47,32,13
20230102,1,1.24,44,31,13
20230102,2,1.19,47,29,12
20230102,3,1.2,46,26,12
20230102,4,1.22,48,23,12
20230102,5,1.25,47,21,13
20230102,6,1.27,48,21,17
20230102,7,1.3,51,17,17
20230102,8,1.46,54,16,17
20230102,9,1.63,54,17,17
20230102,10,1.75,51,27,18
20230102,11,1.54,43,44,17
20230102,12,1.2,30,64,14
20230102,13,1.01,23,76,13
20230102,14,0.96,22,80,11
20230102,15,0.9,24,81,11
20230102,16,0.93,29,78,11
20230102,17,0.95,36,72,12
20230102,18,1.06,56,47,11
20230102,19,1.25,66,32,12
20230102,20,1.36,77,17,14
20230102,21,1.55,81,11,14
20230102,22,1.45,75,12,13
20230102,23,1.51,79,7,13
20230103,0,1.45,75,9,12
20230103,1,1.46,74,10,12
20230103,2,1.51,74,11,12
20230103,3,1.52,74,6,11
20230103,4,1.5,71,4,10
20230103,5,1.49,67,4,10
20230103,6,1.5,65,4,9
20230103,7,1.59,66,5,12
20230103,8,1.77,70,5,15
20230103,9,1.95,72,8,14
20230103,10,1.66,73,12,15
20230103,11,1.32,60,32,16
20230103,12,1.1,41,60,14
20230103,13,0.97,27,83,14
20230103,14,0.95,26,91,13
20230103,15,0.96,25,94,13
20230103,16,0.89,26,93,13
20230103,17,0.81,32,81,12
20230103,18,0.91,45,64,11
20230103,19,1.05,62,42,11
20230103,20,1.16,66,33,13
20230103,21,1.25,70,27,13
20230103,22,1.29,71,26,13
20230103,23,1.17,63,26,12
20230104,0,1.25,66,23,12
20230104,1,1.25,67,19,11
20230104,2,1.18,66,16,10
20230104,3,1.16,64,13,10
20230104,4,1.14,63,14,10
20230104,5,1.13,60,15,9
20230104,6,1.13,59,13,9
20230104,7,1.21,60,12,10
20230104,8,1.31,63,8,9
20230104,9,1.41,64,8,11
20230104,10,1.32,61,18,12
20230104,11,1.27,53,36,12
20230104,12,1.19,45,61,13
20230104,13,1.19,41,80,13
20230104,14,1.11,38,98,13
20230104,15,1.04,30,111,11
20230104,16,0.96,29,111,11
20230104,17,0.98,42,88,11
20230104,18,1.14,72,53,11
20230104,19,1.26,87,35,12
20230104,20,1.3,91,25,12
20230104,22,1.39,94,14,13
20230104,23,1.33,86,17,12
20230105,0,1.3,84,19,12
20230105,1,1.29,81,18,11
20230105,2,1.34,84,14,10
20230105,3,1.34,82,13,10
20230105,4,1.35,82,10,11
20230105,5,1.32,78,13,11
20230105,6,1.32,80,11,11
20230105,7,1.36,82,10,12
20230105,8,1.49,81,8,13
20230105,9,1.69,80,9,15
20230105,10,1.69,85,14,17
20230105,11,1.54,86,26,17
20230105,12,1.38,85,49,16
20230105,13,1.24,64,77,16
20230105,14,1.1,55,100,17
20230105,15,1.04,50,111,16
20230105,16,1,46,119,15
20230105,17,0.98,51,111,14
20230105,18,1.11,68,85,13
20230105,19,1.4,103,42,13
20230105,20,1.55,103,38,17
20230105,21,1.48,97,37,14
20230105,22,1.51,98,25,13
20230105,23,1.55,95,24,12
20230106,0,1.51,88,30,11
20230106,1,1.46,85,22,10
20230106,2,1.4,83,23,11
20230106,3,1.35,76,26,10
20230106,4,1.36,76,26,12
20230106,5,1.36,73,33,13
20230106,6,1.38,73,35,12
20230106,7,1.4,71,34,11
20230106,8,1.48,63,41,9
20230106,9,1.61,56,50,12
20230106,10,1.61,39,64,12
20230106,11,1.55,33,75,11
20230106,12,1.55,32,83,11
20230106,13,1.43,29,95,12
20230106,14,1.25,26,105,35
20230106,15,1.17,26,109,12
20230106,16,1.13,27,110,11
20230106,17,1.16,32,102,12
20230106,18,1.32,49,78,12
20230106,19,1.49,65,57,13
20230106,20,1.66,79,35,12
20230106,21,1.72,88,21,13
20230106,22,1.8,89,17,14
20230106,23,1.7,85,22,13
20230107,0,1.66,77,24,12
20230107,1,1.6,75,27,12
20230107,2,1.55,73,25,11
20230107,3,1.51,69,24,12
20230107,4,1.53,73,15,11
20230107,5,1.6,79,9,11
20230107,6,1.61,83,7,11
20230107,7,1.61,81,6,11
20230107,8,1.72,77,5,11
20230107,9,1.9,77,8,14
20230107,10,1.68,70,17,14
20230107,11,1.59,69,30,14
20230107,12,1.47,67,46,13
20230107,13,1.41,54,73,12
20230107,14,1.27,40,98,12
20230107,15,1.19,32,116,11
20230107,16,1.15,33,120,11
20230107,17,1.2,39,109,12
20230107,18,1.29,62,77,12
20230107,19,1.34,64,65,12
20230107,20,1.38,65,58,13
20230107,21,1.43,72,44,13
20230107,22,1.39,67,43,12
20230108,0,1.32,52,47,12
20230108,1,1.26,47,48,11
20230108,2,1.26,48,43,10
20230108,3,1.25,51,37,10
20230108,4,1.25,49,36,9
20230108,5,1.29,56,25,9
20230108,6,1.3,62,16,9
20230108,7,1.42,69,8,9
20230108,9,1.61,68,9,11
20230108,10,1.57,72,17,13
20230108,11,1.5,77,26,13
20230108,12,1.41,74,45,14
20230108,13,1.2,42,95,13
20230108,14,1.1,31,115,12
20230108,15,1.11,27,127,12
20230108,16,1.11,30,130,13
20230108,17,1.17,36,119,13
